DATE,SPEND
2021-01-01,153580.201799
2021-01-02,148958.6835
2021-01-03,134150.510708
2021-01-04,110031.841291
2021-01-05,107287.756837
2021-01-06,106243.779934
2021-01-07,135017.283345
2021-01-08,155620.005945
2021-01-09,146076.386439
2021-01-10,145957.202928
2021-01-11,151606.183582
2021-01-12,137887.260233
2021-01-13,137370.600763
2021-01-14,126096.288292
2021-01-15,129806.859383
2021-01-16,151792.221681
2021-01-17,138397.231524
2021-01-18,130614.836943
2021-01-19,127853.708546
2021-01-20,148404.646375
2021-01-21,139310.089604
2021-01-22,153513.758197
2021-01-23,136799.919118
2021-01-24,143324.094036
2021-01-25,152053.050094
2021-01-26,153389.558047
2021-01-27,148657.447333
2021-01-28,136222.103378
2021-01-29,142970.971083
2021-01-30,139000.013698
2021-01-31,141838.323008
2021-02-01,117978.343202
2021-02-02,129940.347432
2021-02-03,139663.632059
2021-02-04,147990.074137
2021-02-05,157463.259628
2021-02-06,159370.056148
2021-02-07,153149.115832
2021-02-08,150853.851754
2021-02-09,157593.593516
2021-02-10,157073.965411
2021-02-11,159141.455416
2021-02-12,168562.766747
2021-02-13,168280.631782
2021-02-14,168694.566733
2021-02-15,169107.347023
2021-02-16,175562.183027
2021-02-17,187042.142726
2021-02-18,184756.363398
2021-02-19,168864.904021
2021-02-20,165539.22208
2021-02-21,172536.169324
2021-02-22,178657.493263
2021-02-23,183941.371585
2021-02-24,208623.63498
2021-02-25,208255.823039
2021-02-26,220324.089058
2021-02-27,198352.151062
2021-02-28,177167.20895
2021-03-01,181034.598628
2021-03-02,184197.117781
2021-03-03,209024.578557
2021-03-04,203932.571776
2021-03-05,158798.452082
2021-03-06,114469.167916
2021-03-07,108690.167959
2021-03-08,121295.046934
2021-03-09,116402.046035
2021-03-10,94500.705768
2021-03-11,95537.774657
2021-03-12,89853.834815
2021-03-13,79371.95381
2021-03-14,65019.58736
2021-03-15,70957.307381
2021-03-16,72739.937577
2021-03-17,70018.540214
2021-03-18,66305.843066
2021-03-19,66021.605138
2021-03-20,50197.719988
2021-03-21,47768.857769
2021-03-22,45861.738373
2021-03-23,67598.379658
2021-03-24,83889.329312
2021-03-25,86411.263473
2021-03-26,93478.128452
2021-03-27,81360.562855
2021-03-28,83745.743378
2021-03-29,99536.409863
2021-03-30,93508.358998
