,datenumber,datestr,Week,inflation,chime,varo,mobilebank
357,2022-07-10,2022-07-10,7/10/2022,90.0,7.714285714285714,1.2857142857142858,12.0
356,2022-07-09,2022-07-09,7/10/2022,90.0,7.714285714285714,1.2857142857142858,12.0
355,2022-07-08,2022-07-08,7/10/2022,90.0,7.714285714285714,1.2857142857142858,12.0
354,2022-07-07,2022-07-07,7/10/2022,90.0,7.714285714285714,1.2857142857142858,12.0
353,2022-07-06,2022-07-06,7/10/2022,90.0,7.714285714285714,1.2857142857142858,12.0
352,2022-07-05,2022-07-05,7/10/2022,90.0,7.714285714285714,1.2857142857142858,12.0
351,2022-07-04,2022-07-04,7/10/2022,90.0,7.714285714285714,1.2857142857142858,12.0
350,2022-07-03,2022-07-03,7/3/2022,50.0,9.428571428571429,1.2857142857142858,12.428571428571429
349,2022-07-02,2022-07-02,7/3/2022,50.0,9.428571428571429,1.2857142857142858,12.428571428571429
348,2022-07-01,2022-07-01,7/3/2022,50.0,9.428571428571429,1.2857142857142858,12.428571428571429
347,2022-06-30,2022-06-30,7/3/2022,50.0,9.428571428571429,1.2857142857142858,12.428571428571429
346,2022-06-29,2022-06-29,7/3/2022,50.0,9.428571428571429,1.2857142857142858,12.428571428571429
345,2022-06-28,2022-06-28,7/3/2022,50.0,9.428571428571429,1.2857142857142858,12.428571428571429
344,2022-06-27,2022-06-27,7/3/2022,50.0,9.428571428571429,1.2857142857142858,12.428571428571429
343,2022-06-26,2022-06-26,6/26/2022,67.0,7.857142857142857,1.4285714285714286,12.142857142857142
342,2022-06-25,2022-06-25,6/26/2022,67.0,7.857142857142857,1.4285714285714286,12.142857142857142
341,2022-06-24,2022-06-24,6/26/2022,67.0,7.857142857142857,1.4285714285714286,12.142857142857142
340,2022-06-23,2022-06-23,6/26/2022,67.0,7.857142857142857,1.4285714285714286,12.142857142857142
339,2022-06-22,2022-06-22,6/26/2022,67.0,7.857142857142857,1.4285714285714286,12.142857142857142
338,2022-06-21,2022-06-21,6/26/2022,67.0,7.857142857142857,1.4285714285714286,12.142857142857142
337,2022-06-20,2022-06-20,6/26/2022,67.0,7.857142857142857,1.4285714285714286,12.142857142857142
336,2022-06-19,2022-06-19,6/19/2022,61.0,7.428571428571429,1.2857142857142858,11.857142857142858
335,2022-06-18,2022-06-18,6/19/2022,61.0,7.428571428571429,1.2857142857142858,11.857142857142858
334,2022-06-17,2022-06-17,6/19/2022,61.0,7.428571428571429,1.2857142857142858,11.857142857142858
333,2022-06-16,2022-06-16,6/19/2022,61.0,7.428571428571429,1.2857142857142858,11.857142857142858
332,2022-06-15,2022-06-15,6/19/2022,61.0,7.428571428571429,1.2857142857142858,11.857142857142858
331,2022-06-14,2022-06-14,6/19/2022,61.0,7.428571428571429,1.2857142857142858,11.857142857142858
330,2022-06-13,2022-06-13,6/19/2022,61.0,7.428571428571429,1.2857142857142858,11.857142857142858
329,2022-06-12,2022-06-12,6/12/2022,100.0,7.0,1.2857142857142858,13.0
328,2022-06-11,2022-06-11,6/12/2022,100.0,7.0,1.2857142857142858,13.0
327,2022-06-10,2022-06-10,6/12/2022,100.0,7.0,1.2857142857142858,13.0
326,2022-06-09,2022-06-09,6/12/2022,100.0,7.0,1.2857142857142858,13.0
325,2022-06-08,2022-06-08,6/12/2022,100.0,7.0,1.2857142857142858,13.0
324,2022-06-07,2022-06-07,6/12/2022,100.0,7.0,1.2857142857142858,13.0
323,2022-06-06,2022-06-06,6/12/2022,100.0,7.0,1.2857142857142858,13.0
322,2022-06-05,2022-06-05,6/5/2022,91.0,7.285714285714286,1.2857142857142858,11.714285714285714
321,2022-06-04,2022-06-04,6/5/2022,91.0,7.285714285714286,1.2857142857142858,11.714285714285714
320,2022-06-03,2022-06-03,6/5/2022,91.0,7.285714285714286,1.2857142857142858,11.714285714285714
319,2022-06-02,2022-06-02,6/5/2022,91.0,7.285714285714286,1.2857142857142858,11.714285714285714
