Week,inflation,chime,varo,mobilebank
7/25/2021,22,47,8,92
8/1/2021,19,49,8,98
8/8/2021,23,50,8,83
8/15/2021,21,48,8,94
8/22/2021,20,49,9,81
8/29/2021,19,45,8,93
9/5/2021,20,45,8,92
9/12/2021,25,47,7,89
9/19/2021,23,45,7,91
9/26/2021,26,45,8,94
10/3/2021,25,46,8,78
10/10/2021,33,49,8,82
10/17/2021,31,45,9,85
10/24/2021,34,46,10,92
10/31/2021,29,46,10,90
11/7/2021,60,48,9,92
11/14/2021,45,46,10,94
11/21/2021,30,45,9,80
11/28/2021,31,51,8,99
12/5/2021,42,100,8,79
12/12/2021,41,55,9,79
12/19/2021,28,52,8,79
12/26/2021,26,49,8,68
1/2/2022,32,54,9,71
1/9/2022,48,55,8,60
1/16/2022,35,50,8,81
1/23/2022,47,54,9,77
1/30/2022,34,57,10,90
2/6/2022,64,55,10,91
2/13/2022,55,59,10,86
2/20/2022,49,63,12,100
2/27/2022,51,58,11,86
3/6/2022,75,54,11,80
3/13/2022,57,58,9,84
3/20/2022,48,52,11,77
3/27/2022,51,49,9,78
4/3/2022,53,47,10,88
4/10/2022,82,49,10,75
4/17/2022,58,46,10,84
4/24/2022,54,46,10,77
5/1/2022,64,48,9,79
5/8/2022,89,47,10,76
5/15/2022,60,49,10,93
5/22/2022,48,52,10,84
5/29/2022,49,52,10,88
6/5/2022,91,51,9,82
6/12/2022,100,49,9,91
6/19/2022,61,52,9,83
6/26/2022,67,55,10,85
7/3/2022,50,66,9,87
7/10/2022,90,54,9,84
